Supervisor,Title,Requestors,Student,Status,StatusChangeDate
A S Madhukumar,Machine Learning-based Interference Mitigation in a Multi-tier Networks,0;0;0,0,0,1900-01-00
A S Madhukumar,Deep Learning-Driven Edge Caching for 5G-and-Beyond Industrial IoT Networks,0;0;0,0,0,1900-01-00
Alexei Sourin,Sonification of geometry 1,0;0;0,0,0,1900-01-00
Arvind Easwaran,Edge/Cloud Resource Management for Time-Sensitive Applications (2),0;0;0,0,0,1900-01-00
Bo An,Deep Reinforcement Learning for Complex Environment,0;0;0,0,0,1900-01-00
Bo An,Build Software Agents for Power Trading Agent Competition,0;0;0,0,0,1900-01-00
Bo An,Designing Negotiation Agents to Parcitipate in International Competition,0;0;0,0,0,1900-01-00
Cai Wentong,Creation of Meta-model for Agent-based Simulation Using Machine Learning Approach,0;0;0,0,0,1900-01-00
Chen Change Loy,Encoding Images to Text Prompts with CLIP,0;0;0,0,0,1900-01-00
Chia Liang Tien,Smart Monitor for Studio Photographer,0;0;0,0,0,1900-01-00
Cong Gao,Developing a demonstration system for spatial data exploration and visualization ,0;0;0,0,0,1900-01-00
Cong Gao,Deep Learning Supported Location-aware Keyword Query,0;0;0,0,0,1900-01-00
Douglas Leslie Maskell,An AI based Li-ion fast battery charger for power tools,0;0;0,0,0,1900-01-00
Douglas Leslie Maskell,A Li-ion fast battery charger,0;0;0,0,0,1900-01-00
Dusit Niyato,Metaverse for virtual education 1,0;0;0,0,0,1900-01-00
"Ke Yiping, Kelly",Graph-based Deep Models for Image Semantic Segmentation,0;0;0,0,0,1900-01-00
